PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,5,5.0,23.6,14.6,12.4,1.0,0.4,5.6,68.32,0.68
Karl-Anthony Towns,C-F,MIN,89,5,5.0,29.0,14.8,4.4,0.4,1.8,2.2,67.75999999999999,0.65
Kyrie Irving,G,BKN,91,4,2.0,24.25,6.5,9.5,1.75,0.75,1.75,56.05,0.57
Jakob Poeltl,C,SAS,78,5,1.0,15.4,11.4,2.0,1.0,2.2,1.0,42.68,0.52
Anthony Edwards,G,MIN,77,5,1.0,24.6,4.0,2.4,1.8,1.4,3.0,41.6,0.51
Pascal Siakam,F,TOR,84,5,3.0,23.2,7.8,4.4,0.8,0.2,1.6,46.56,0.48
OG Anunoby,F,TOR,78,5,1.0,18.8,7.2,2.8,1.6,1.0,2.2,39.24,0.48
Luka Doncic,F-G,DAL,93,4,0.0,28.25,6.75,6.25,1.0,0.25,5.0,44.48,0.48
De'Aaron Fox,G,SAC,86,5,2.0,23.8,2.2,5.2,1.4,1.4,2.4,44.24,0.47
DeMar DeRozan,F-G,SAS,87,5,1.0,24.2,4.2,7.4,0.8,0.2,2.8,42.54,0.47
Devin Booker,G,PHX,88,5,2.0,29.8,4.2,3.4,0.8,0.2,2.8,44.14,0.46
Rudy Gobert,C,UTA,88,5,1.0,14.4,12.4,1.4,0.6,2.8,1.0,42.58,0.46
Kelly Olynyk,C-F,HOU,74,5,2.0,18.2,5.4,3.4,0.8,1.0,1.0,38.18,0.46
Dejounte Murray,G,SAS,83,5,0.0,17.0,7.2,5.6,2.0,0.0,1.8,38.24,0.46
Collin Sexton,G,CLE,83,4,0.0,24.0,3.75,3.0,2.25,0.0,2.25,37.5,0.45
Moses Brown,C,OKC,67,5,1.0,11.6,13.0,0.0,0.6,0.8,1.0,32.4,0.45
Christian Wood,F,HOU,85,3,0.0,16.0,10.0,3.0,1.67,1.0,2.33,38.17,0.45
Julius Randle,C-F,NYK,87,4,0.0,21.5,9.0,5.75,0.25,0.25,4.0,38.42,0.44
Chris Paul,G,PHX,88,5,1.0,16.6,4.0,8.6,1.8,0.0,2.2,39.5,0.43
Richaun Holmes,C-F,SAC,81,5,2.0,14.0,11.4,1.0,0.2,2.2,1.4,38.98,0.43
Donovan Mitchell,G,UTA,88,4,1.0,25.5,2.25,5.0,1.25,0.5,2.75,40.2,0.43
Hamidou Diallo,G,DET,77,3,0.0,17.33,6.67,2.33,0.67,1.0,1.67,32.17,0.42
Mike Conley,G,UTA,85,3,1.0,19.0,3.33,5.67,1.67,0.33,2.0,37.5,0.42
Derrick White,G,SAS,79,5,0.0,20.0,3.4,3.4,0.8,0.8,1.6,32.38,0.41
Theo Maledon,G,OKC,75,5,2.0,17.4,5.6,3.0,0.8,0.2,2.6,33.019999999999996,0.39
LaMarcus Aldridge,C-F,BKN,81,2,0.0,11.0,6.0,3.5,1.0,2.0,0.5,31.95,0.39
Cory Joseph,G,DET,71,5,0.0,11.2,3.0,5.4,2.0,0.4,2.6,27.5,0.39
Rudy Gay,F-G,SAS,78,5,1.0,14.0,5.4,2.2,1.2,1.0,0.8,31.58,0.38
Jaden McDaniels,F,MIN,72,5,0.0,13.2,4.8,2.4,0.4,1.4,0.6,27.36,0.38
Jae'Sean Tate,F,HOU,77,5,0.0,14.0,5.6,2.8,0.6,1.0,0.6,29.12,0.38
Aleksej Pokusevski,C,OKC,71,4,0.0,14.25,3.75,3.75,0.75,0.75,2.75,26.12,0.37
Jalen Brunson,G,DAL,80,5,0.0,17.6,3.2,4.4,1.0,0.0,1.2,29.84,0.37
Harrison Barnes,F,SAC,80,5,0.0,14.2,7.2,3.0,1.2,0.4,2.4,29.74,0.37
Kevin Porter Jr.,F-G,HOU,75,5,0.0,15.8,3.8,5.2,0.6,0.2,3.6,26.96,0.36
Mason Plumlee,C-F,DET,80,5,0.0,11.2,8.0,2.6,0.6,1.2,1.6,28.5,0.36
Jordan Clarkson,G,UTA,84,5,0.0,19.0,4.6,3.0,0.8,0.0,1.2,30.22,0.36
Deandre Ayton,C,PHX,84,5,0.0,13.0,9.6,1.0,0.6,1.0,1.4,29.42,0.35
Darius Garland,G,CLE,77,5,0.0,13.6,3.6,5.6,1.4,0.0,3.8,26.72,0.35
Gary Trent Jr.,F-G,TOR,78,5,0.0,16.8,3.6,1.2,1.2,0.4,0.2,27.52,0.35
Isaiah Hartenstein,C-F,CLE,74,3,0.0,8.67,8.0,2.67,0.0,1.33,0.67,25.6,0.35
Dean Wade,C-F,CLE,70,5,0.0,8.6,5.6,2.0,1.2,0.6,0.2,23.52,0.34
Tyrese Haliburton,G,SAC,83,5,0.0,13.4,3.0,5.4,0.8,0.2,1.0,27.1,0.33
RJ Barrett,F-G,NYK,79,5,1.0,14.8,4.0,3.4,0.8,0.4,2.2,28.1,0.33
Tim Hardaway Jr.,F-G,DAL,79,5,0.0,17.2,3.6,1.4,0.6,0.0,0.4,25.02,0.32
Mikal Bridges,F,PHX,83,5,1.0,11.4,4.8,1.6,1.8,0.8,1.0,28.36,0.32
Chris Boucher,C-F,TOR,80,5,1.0,9.4,5.4,1.2,0.8,2.2,1.0,27.68,0.32
Jae Crowder,F,PHX,77,5,0.0,10.0,4.8,2.8,0.8,1.4,1.6,24.96,0.32
Jerami Grant,F,DET,83,5,1.0,14.8,3.4,2.8,0.4,1.2,1.4,28.48,0.32
Taj Gibson,F,NYK,75,5,0.0,6.6,5.8,1.2,0.8,2.2,0.4,23.96,0.32
Bojan Bogdanovic,F,UTA,78,5,0.0,12.8,4.6,2.4,0.8,0.2,0.6,24.32,0.31
Robin Lopez,C,WAS,76,5,0.0,12.0,5.0,1.0,0.4,1.4,1.4,23.5,0.31
Jeff Green,F,BKN,76,5,0.0,13.2,3.6,1.0,0.8,1.0,1.0,23.42,0.31
Buddy Hield,G,SAC,77,5,0.0,14.0,3.4,2.0,1.2,0.2,1.4,23.88,0.31
Kenrich Williams,F-G,OKC,76,5,0.0,11.6,4.4,2.2,0.6,0.8,0.8,23.58,0.31
Blake Griffin,F,BKN,78,4,0.0,10.75,5.75,3.25,0.75,0.25,1.25,24.28,0.31
Nerlens Noel,C-F,NYK,77,5,0.0,4.0,7.2,0.6,1.6,2.6,2.0,24.14,0.31
Alec Burks,G,NYK,77,5,1.0,12.0,3.8,2.8,0.4,0.6,0.8,24.96,0.3
Maxi Kleber,F,DAL,75,4,0.0,7.75,6.25,1.5,1.0,0.5,0.5,21.5,0.29
Boban Marjanovic,C,DAL,75,3,0.0,9.33,7.67,1.0,0.0,0.67,0.33,21.7,0.29
D.J. Augustin,G,HOU,73,5,0.0,12.2,3.2,3.8,0.4,0.0,2.0,20.94,0.29
Terence Davis,G,SAC,75,5,0.0,12.2,3.0,1.6,1.0,0.4,1.4,21.0,0.28
Saben Lee,G,DET,75,5,0.0,7.6,3.6,4.4,0.8,0.6,1.8,20.92,0.28
Joe Ingles,F-G,UTA,80,5,0.0,11.6,3.2,3.2,1.4,0.0,2.4,22.04,0.28
Kevin Love,C-F,CLE,82,2,0.0,11.5,7.0,3.0,0.0,0.5,3.0,22.9,0.28
Elfrid Payton,G,NYK,74,5,1.0,8.8,3.2,3.4,1.0,0.4,1.2,22.74,0.28
Bruce Brown,F-G,BKN,77,5,0.0,10.2,5.0,1.8,1.0,0.2,1.2,21.3,0.28
Deni Avdija,F,WAS,74,5,0.0,8.0,7.8,1.0,0.6,0.2,0.4,20.86,0.28
Reggie Bullock,F-G,NYK,73,4,0.0,12.0,3.5,1.25,0.75,0.0,0.5,19.82,0.27
Dorian Finney-Smith,F,DAL,74,5,0.0,9.2,5.4,1.6,0.6,0.2,0.4,20.08,0.27
Tony Bradley,C-F,OKC,75,4,0.0,9.0,6.5,1.0,0.5,0.75,1.75,20.3,0.27
Jordan McLaughlin,G,MIN,73,5,1.0,4.8,2.6,4.6,1.6,0.4,1.4,21.42,0.27
