PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
James Harden,G,BKN,95,3.0,26.8,8.1,10.0,1.3,0.8,4.0,59.82,0.57
Luka Doncic,F-G,DAL,94,2.0,27.3,7.8,8.1,1.0,0.5,4.0,53.31,0.52
Kyrie Irving,G,BKN,91,6.0,27.6,4.7,5.8,1.5,0.6,2.5,57.74,0.5
Kevin Durant,F,BKN,96,1.0,27.1,7.1,5.3,0.7,1.2,3.4,47.87,0.48
Jayson Tatum,F-G,BOS,90,4.0,27.0,6.8,4.3,1.1,0.5,2.8,51.61,0.48
Kawhi Leonard,F,LAC,96,1.0,24.7,6.1,5.5,1.5,0.4,2.1,45.87,0.46
Paul George,F,LAC,88,5.0,23.0,6.6,5.1,1.1,0.4,3.1,49.97,0.45
Kristaps Porzingis,C-F,DAL,86,2.0,20.4,8.8,1.7,0.5,1.3,1.3,41.61,0.44
Andre Drummond,C,LAL,83,0.0,14.7,11.6,1.9,1.4,1.0,2.6,36.07,0.43
Chris Paul,G,PHX,89,2.0,16.9,4.4,8.0,1.5,0.3,2.4,41.18,0.42
Kemba Walker,G,BOS,83,1.0,21.1,4.0,4.7,1.1,0.3,2.3,36.85,0.42
Devin Booker,G,PHX,89,3.0,24.7,4.1,4.0,0.9,0.3,2.9,42.32,0.41
Dennis Schroder,G,LAL,77,1.0,15.4,3.5,5.5,1.2,0.2,2.7,31.35,0.38
Marcus Smart,G,BOS,79,0.0,12.6,3.5,5.5,1.5,0.4,2.0,28.75,0.36
Evan Fournier,F-G,BOS,80,0.0,17.1,3.0,3.4,1.1,0.4,1.9,28.4,0.36
Deandre Ayton,C,PHX,85,0.0,13.3,9.9,1.2,0.6,1.1,1.4,30.68,0.36
Kyle Kuzma,F,LAL,77,0.0,13.4,6.3,1.7,0.4,0.7,1.7,25.11,0.33
Mikal Bridges,F,PHX,83,1.0,12.6,4.0,1.8,1.1,0.7,0.8,26.7,0.3
Serge Ibaka,F,LAC,81,0.0,10.7,6.3,1.5,0.2,1.1,1.0,23.41,0.29
Joe Harris,F-G,BKN,79,0.0,14.2,3.6,1.8,0.6,0.3,0.9,23.02,0.29
Josh Richardson,G,DAL,77,0.0,11.6,3.3,2.4,1.0,0.4,1.3,22.06,0.29
Blake Griffin,F,BKN,77,0.0,11.0,4.7,2.9,0.7,0.3,1.5,22.49,0.29
Dorian Finney-Smith,F,DAL,75,0.0,9.9,5.5,1.7,0.8,0.4,0.9,21.75,0.29
Jae Crowder,F,PHX,77,0.0,10.2,4.7,1.8,0.8,0.5,0.9,21.54,0.28
Tim Hardaway Jr.,F-G,DAL,80,0.0,15.4,3.2,1.7,0.4,0.1,0.9,22.39,0.28
Nicolas Batum,F-G,LAC,76,0.0,7.9,4.8,2.0,1.0,0.6,0.8,20.66,0.27
Tristan Thompson,C-F,BOS,78,0.0,7.5,7.6,1.2,0.4,0.6,1.1,20.32,0.26
Kentavious Caldwell-Pope,G,LAL,75,0.0,10.2,2.8,2.0,0.9,0.3,1.0,19.16,0.26
Jeff Green,F,BKN,76,0.0,10.7,3.5,1.5,0.5,0.4,0.8,19.05,0.25
Ivica Zubac,C,LAC,79,0.0,8.2,6.6,1.0,0.3,0.8,1.1,19.82,0.25
Nicolas Claxton,C-F,BKN,76,0.0,6.2,4.9,0.7,0.7,1.1,0.6,17.93,0.24
Cameron Payne,G,PHX,77,0.0,8.5,2.2,3.1,0.6,0.3,1.1,17.39,0.23
Patrick Beverley,G,LAC,78,0.0,7.7,3.2,2.0,0.8,0.7,0.9,18.14,0.23
Reggie Jackson,G,LAC,79,0.0,9.7,2.6,2.8,0.6,0.1,1.0,18.12,0.23
Alex Caruso,G,LAL,73,0.0,6.3,2.7,2.6,1.0,0.2,1.3,15.74,0.22
Cameron Johnson,F,PHX,77,0.0,9.1,2.9,1.2,0.6,0.2,0.7,16.08,0.21
Landry Shamet,G,BKN,74,0.0,9.1,2.0,1.5,0.5,0.1,0.8,14.75,0.2
Payton Pritchard,G,BOS,75,0.0,7.3,2.2,1.6,0.5,0.1,0.7,13.44,0.18
Markieff Morris,F,LAL,74,0.0,6.5,3.9,1.0,0.3,0.3,0.9,13.58,0.18
Dwight Powell,C-F,DAL,77,0.0,5.3,3.8,0.9,0.5,0.6,0.6,13.91,0.18
Rajon Rondo,G,LAC,76,0.0,4.7,2.0,3.7,0.7,0.1,1.4,13.65,0.18
Terance Mann,F-G,LAC,76,0.0,6.1,3.1,1.2,0.4,0.2,0.5,12.92,0.17
Montrezl Harrell,C-F,LAL,83,0.0,7.0,3.6,0.6,0.4,0.4,0.6,14.02,0.17
DeAndre Jordan,C,BKN,79,0.0,3.9,4.1,0.9,0.2,0.6,0.8,11.77,0.15
Torrey Craig,F,PHX,79,0.0,4.3,3.2,0.8,0.5,0.5,0.4,11.94,0.15
Semi Ojeleye,F,BOS,73,0.0,4.4,2.6,0.6,0.3,0.2,0.3,9.62,0.13
Aaron Nesmith,F-G,BOS,72,0.0,3.8,2.2,0.4,0.3,0.2,0.4,8.14,0.11
Talen Horton-Tucker,G,LAL,75,2.0,3.8,1.2,1.2,0.4,0.1,0.7,11.84,0.1
Marc Gasol,C,LAL,75,0.0,2.2,1.8,0.8,0.2,0.5,0.4,7.26,0.1
DeMarcus Cousins,C,LAC,78,0.0,2.9,2.2,0.6,0.3,0.2,0.5,7.44,0.1
Romeo Langford,F-G,BOS,70,0.0,2.7,1.7,0.6,0.3,0.3,0.5,6.94,0.1
Luke Kennard,G,LAC,76,0.0,3.9,1.2,0.8,0.2,0.1,0.4,7.04,0.09
Dario Saric,C-F,PHX,79,0.0,3.3,1.6,0.5,0.3,0.0,0.4,6.47,0.08
Wesley Matthews,F-G,LAL,73,0.0,2.0,0.7,0.4,0.3,0.1,0.2,4.44,0.06
Ben McLemore,G,LAL,72,0.0,2.7,0.7,0.3,0.2,0.1,0.3,4.59,0.06
Willie Cauley-Stein,C,DAL,76,0.0,1.7,1.6,0.2,0.1,0.3,0.2,4.92,0.06
Grant Williams,F,BOS,70,0.0,1.7,1.1,0.4,0.2,0.1,0.3,4.22,0.06
Frank Kaminsky,C-F,PHX,79,0.0,1.7,1.1,0.4,0.1,0.1,0.1,4.12,0.05
Tyler Johnson,G,BKN,71,0.0,1.9,0.8,0.4,0.1,0.0,0.2,3.56,0.05
Patrick Patterson,F,LAC,71,0.0,1.4,0.5,0.2,0.1,0.1,0.1,2.8,0.04
Trey Burke,G,DAL,76,0.0,1.7,0.3,0.4,0.2,0.0,0.2,3.06,0.04
Jabari Parker,F,BOS,75,0.0,0.9,0.6,0.1,0.0,0.1,0.1,1.97,0.03
Jevon Carter,G,PHX,74,1.0,0.9,0.4,0.2,0.1,0.0,0.1,3.88,0.03
Tremont Waters,G,BOS,69,0.0,0.4,0.1,0.3,0.1,0.0,0.1,1.17,0.02
Nicolo Melli,F,DAL,73,0.0,0.6,0.5,0.2,0.1,0.0,0.1,1.7,0.02
Chris Chiozza,G,BKN,72,0.0,0.6,0.2,0.5,0.1,0.0,0.1,1.79,0.02
Reggie Perry,C-F,BKN,72,0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.46,0.01
Amir Coffey,F-G,LAC,71,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.57,0.01
Alfonzo McKinnie,F,LAL,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Langston Galloway,G,PHX,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Smith,C-F,PHX,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
