PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,3,28.0,11.33,13.33,5.33,1.33,0.67,62.27,0.72
Luka Doncic,F-G,DAL,93,3,35.0,8.33,11.33,5.0,2.0,0.67,65.0,0.7
Nikola Jokic,C,DEN,95,3,26.0,13.0,8.0,1.67,2.0,0.67,59.93,0.63
Julius Randle,C-F,NYK,87,3,23.33,12.33,10.33,3.0,1.33,0.0,54.63,0.63
Nikola Vucevic,C,ORL,87,3,25.67,13.33,6.0,5.0,1.67,1.0,53.67,0.62
James Harden,G,BKN,95,3,26.67,9.33,13.0,4.0,1.33,0.33,58.37,0.61
Tobias Harris,F,PHI,86,3,26.0,8.67,4.67,0.67,1.67,1.0,50.73,0.59
Kyrie Irving,G,BKN,91,2,38.5,3.5,4.0,3.0,1.0,0.0,48.7,0.54
Jaylen Brown,F-G,BOS,89,3,25.0,6.33,4.67,3.33,2.33,1.67,48.27,0.54
Bradley Beal,G,WAS,90,3,36.33,4.67,5.0,3.33,0.33,0.0,47.1,0.52
Damian Lillard,G,POR,94,3,39.0,5.0,5.33,4.0,0.0,0.0,49.0,0.52
Zach LaVine,F-G,CHI,88,3,33.67,3.67,4.0,2.0,0.67,0.33,45.07,0.51
Aaron Gordon,F,ORL,80,2,27.5,5.5,5.5,3.5,0.5,0.0,40.35,0.5
Domantas Sabonis,C-F,IND,87,3,13.67,11.67,8.33,3.33,1.67,0.33,42.83,0.49
Norman Powell,"['G', 'G']",TOR,81,3,30.67,4.0,2.0,2.67,0.67,0.67,39.8,0.49
Zion Williamson,F,NOP,89,3,27.0,5.67,5.33,2.67,0.67,0.67,43.13,0.48
Jamal Murray,G,DEN,86,3,23.0,3.33,6.0,3.33,2.67,0.0,40.67,0.47
Delon Wright,G,DET,77,3,10.67,5.67,8.0,2.0,2.33,0.67,36.47,0.47
Robert Williams III,C-F,BOS,77,3,13.0,10.33,2.0,2.0,0.67,2.67,36.4,0.47
Jimmy Butler,F,MIA,90,3,23.0,9.0,3.33,2.33,1.67,0.0,41.47,0.46
Moses Brown,C,OKC,67,3,12.67,7.67,0.33,0.67,0.67,2.33,30.7,0.46
Thaddeus Young,F,CHI,80,3,14.67,9.33,5.67,3.67,1.67,0.33,36.7,0.46
Bam Adebayo,C-F,MIA,88,3,16.33,9.67,5.67,1.67,0.67,1.0,39.77,0.45
Christian Wood,F,HOU,85,2,19.5,10.0,2.0,2.5,0.5,1.5,38.0,0.45
Will Barton,G,DEN,75,3,19.67,5.33,4.0,1.67,0.33,0.67,33.4,0.45
Devin Booker,G,PHX,88,3,26.0,5.0,5.33,4.0,0.67,0.33,39.0,0.44
Larry Nance Jr.,C-F,CLE,78,3,13.0,7.67,3.0,1.67,2.0,1.0,34.03,0.44
Evan Fournier,F-G,ORL,82,2,27.0,2.0,3.0,2.5,1.0,0.5,35.9,0.44
Michael Porter Jr.,F,DEN,82,3,22.33,9.0,1.33,1.0,0.33,0.33,36.13,0.44
Jayson Tatum,F-G,BOS,90,3,24.33,6.0,3.0,2.67,1.67,0.33,39.37,0.44
RJ Barrett,F-G,NYK,79,3,19.0,7.67,3.0,1.67,0.67,0.33,34.03,0.43
Kyle Lowry,G,TOR,84,3,14.0,5.33,10.33,3.67,1.33,0.0,36.23,0.43
Jae'Sean Tate,F,HOU,77,3,13.0,4.67,3.67,1.33,2.67,0.67,32.77,0.43
Collin Sexton,G,CLE,83,3,26.33,4.33,3.67,2.0,0.33,0.0,36.03,0.43
Pascal Siakam,F,TOR,84,2,20.0,5.0,6.0,1.5,0.5,0.5,36.5,0.43
Chris Paul,G,PHX,88,3,18.33,3.67,7.0,3.0,2.67,0.0,38.23,0.43
Montrezl Harrell,C-F,LAL,82,3,18.33,8.67,2.33,1.0,0.33,0.67,34.23,0.42
Saddiq Bey,F,DET,78,3,18.33,6.67,1.33,0.67,1.67,0.0,32.67,0.42
Malcolm Brogdon,G,IND,84,3,25.0,4.33,4.0,2.67,0.33,0.0,34.53,0.41
Victor Oladipo,G,HOU,81,2,26.5,3.0,4.5,4.0,0.0,0.0,32.85,0.41
Fred VanVleet,G,TOR,85,2,14.5,3.5,6.5,1.0,2.5,0.0,34.95,0.41
Dennis Schroder,G,LAL,77,3,18.0,4.0,6.0,4.33,1.33,0.0,31.47,0.41
Darius Garland,G,CLE,77,3,21.67,2.0,5.67,3.67,1.0,0.0,31.9,0.41
Mikal Bridges,F,PHX,83,3,13.67,4.67,5.0,0.67,1.67,0.67,33.1,0.4
Reggie Bullock,F-G,NYK,73,3,17.0,4.67,1.33,1.33,2.0,0.0,29.27,0.4
Chris Boucher,C-F,TOR,80,3,18.0,3.67,1.0,0.67,0.33,2.33,31.23,0.39
Rui Hachimura,F,WAS,77,3,17.0,7.67,1.67,2.0,1.0,0.0,29.7,0.39
Mason Plumlee,C-F,DET,80,3,8.33,14.0,1.0,0.67,0.33,1.33,30.97,0.39
Dwight Howard,C-F,PHI,79,3,11.33,13.33,0.33,2.0,0.33,1.33,30.83,0.39
Robert Covington,F,POR,77,3,10.0,7.33,0.33,1.33,2.33,1.33,28.97,0.38
Brandon Ingram,F,NOP,85,3,24.0,4.67,3.67,3.67,0.33,0.0,32.43,0.38
Kelly Olynyk,C-F,MIA,74,3,8.67,6.67,2.0,0.67,2.0,1.0,28.0,0.38
Danny Green,F-G,PHI,75,3,13.0,3.33,1.33,1.0,2.67,0.67,28.0,0.37
T.J. McConnell,G,IND,78,3,10.0,3.67,7.33,2.33,1.67,0.33,29.07,0.37
Alec Burks,G,NYK,77,3,17.33,5.0,1.33,1.0,0.67,0.67,28.33,0.37
Josh Hart,G,NOP,77,3,12.67,7.33,2.67,1.0,0.67,0.33,27.47,0.36
Myles Turner,C-F,IND,81,3,9.67,6.0,1.33,1.67,0.0,4.0,29.2,0.36
Caris LeVert,G,IND,83,3,14.67,3.0,4.67,1.67,2.0,0.0,29.6,0.36
Tim Hardaway Jr.,F-G,DAL,79,3,20.33,4.0,2.33,1.0,0.33,0.0,28.63,0.36
Ty Jerome,F-G,OKC,74,3,13.67,2.67,3.33,1.0,1.33,0.33,25.87,0.35
Josh Jackson,F-G,DET,76,3,15.33,3.0,3.67,1.67,1.0,0.33,26.77,0.35
Enes Kanter,C,POR,80,3,13.33,9.0,0.33,1.33,1.0,0.67,28.3,0.35
Facundo Campazzo,G,DEN,74,3,2.67,3.0,8.0,1.33,2.33,0.33,24.93,0.34
Jerami Grant,F,DET,83,3,18.33,2.67,2.0,2.0,0.67,1.33,28.53,0.34
Kemba Walker,G,BOS,85,2,16.0,2.0,6.0,1.5,1.0,0.0,28.9,0.34
Kristaps Porzingis,C-F,DAL,86,3,14.67,9.33,0.33,2.33,0.0,1.67,29.03,0.34
Joe Harris,F-G,BKN,79,3,16.0,4.0,2.33,1.67,1.33,0.0,26.63,0.34
Jarrett Allen,C,CLE,84,3,10.0,9.33,1.67,1.0,0.0,1.67,27.7,0.33
Daniel Theis,C-F,BOS,78,3,9.67,7.67,4.0,1.0,0.33,0.33,25.87,0.33
Aleksej Pokusevski,C,OKC,71,3,10.33,8.0,2.33,1.67,0.33,0.33,23.77,0.33
Justin Holiday,F-G,IND,75,3,15.0,3.67,1.33,0.67,1.0,0.0,23.73,0.32
Kenrich Williams,F-G,OKC,76,3,13.67,5.0,3.0,1.0,0.33,0.0,24.17,0.32
Deandre Ayton,C,PHX,84,3,12.33,7.33,0.33,1.67,0.67,1.33,25.97,0.31
Nicolas Claxton,C-F,BKN,74,3,8.0,5.33,1.33,0.33,0.67,1.67,23.07,0.31
Tomas Satoransky,F-G,CHI,75,3,9.33,2.33,6.33,2.33,1.33,0.0,23.3,0.31
Carmelo Anthony,F,POR,79,3,14.0,3.33,2.67,1.0,0.67,0.33,24.0,0.3
Josh Richardson,F-G,DAL,78,3,8.0,4.67,1.67,1.67,2.0,1.0,23.43,0.3
CJ McCollum,G,POR,88,3,17.67,3.33,2.67,1.33,0.33,0.33,26.33,0.3
Markieff Morris,F,LAL,74,3,10.33,6.33,1.33,1.0,0.33,0.67,21.93,0.3
Lauri Markkanen,C-F,CHI,83,3,14.0,4.67,1.33,1.0,0.33,1.0,24.6,0.3
Isaiah Roby,F,OKC,76,3,9.67,7.0,1.33,4.0,1.0,1.33,23.07,0.3
