PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kyrie Irving,G,BKN,91,3,1.0,24.33,8.0,7.67,1.67,1.0,2.0,53.43,0.57
Robert Williams III,C-F,BOS,77,4,2.0,10.75,10.5,5.25,1.25,3.0,0.75,47.22,0.56
Dennis Schroder,G,LAL,77,5,1.0,19.0,4.0,8.0,2.8,0.4,4.8,42.6,0.53
Clint Capela,C,ATL,86,5,2.0,17.2,13.2,0.0,1.0,3.0,0.6,48.44,0.52
Stephen Curry,G,GSW,96,2,0.0,34.0,8.0,4.5,0.5,0.0,2.0,49.85,0.52
Jayson Tatum,F-G,BOS,90,5,2.0,29.2,7.6,3.6,1.4,0.4,2.2,50.92,0.52
Kawhi Leonard,F,LAC,96,4,0.0,25.75,7.5,5.25,2.0,0.25,2.25,47.12,0.49
Andrew Wiggins,F-G,GSW,79,5,1.0,22.8,6.4,3.6,0.6,1.2,2.6,40.68,0.49
Paul George,F,LAC,90,3,1.0,21.67,10.0,6.0,1.0,0.33,2.33,46.33,0.49
Bogdan Bogdanovic,G,ATL,76,5,3.0,19.2,3.6,4.8,1.6,0.6,0.8,42.52,0.48
Jonas Valanciunas,C,MEM,82,5,0.0,18.4,13.8,2.0,0.4,0.6,1.4,39.56,0.48
Nikola Vucevic,C,CHI,87,4,1.0,20.5,9.0,4.0,0.5,0.75,0.5,42.55,0.47
Christian Wood,F,HOU,85,3,0.0,19.0,9.0,2.33,1.33,1.33,1.67,39.63,0.47
Nikola Jokic,C,DEN,95,5,2.0,21.6,8.6,6.8,0.8,0.8,3.0,47.92,0.46
Chuma Okeke,F,ORL,72,5,0.0,15.6,6.2,3.2,1.4,0.8,1.4,33.04,0.46
Jamal Murray,G,DEN,86,5,1.0,22.6,4.2,5.6,1.2,0.2,1.6,40.64,0.45
Nickeil Alexander-Walker,G,NOP,76,5,1.0,18.8,5.6,3.0,0.8,1.2,2.4,35.62,0.44
Terry Rozier,G,CHA,82,5,1.0,20.4,6.6,4.4,0.6,0.6,2.2,38.32,0.44
Kelly Olynyk,C-F,HOU,74,4,1.0,16.25,4.75,3.5,1.0,1.0,1.25,33.95,0.43
Kyle Kuzma,F,LAL,76,5,0.0,19.2,8.0,3.4,0.4,0.0,2.6,32.5,0.43
Michael Porter Jr.,F,DEN,82,5,1.0,21.2,7.8,2.0,0.2,0.8,1.4,37.16,0.43
Marcus Smart,G,BOS,80,5,0.0,13.8,4.4,6.2,1.6,0.8,1.8,33.78,0.42
Terance Mann,F-G,LAC,72,5,0.0,14.8,6.8,3.6,0.4,0.2,0.8,29.36,0.41
Devonte' Graham,G,CHA,78,5,1.0,17.6,3.0,4.6,2.0,0.2,2.6,34.1,0.41
James Johnson,F,NOP,77,2,0.0,16.5,3.5,4.0,1.0,1.5,2.5,31.7,0.41
Tobias Harris,F,PHI,86,5,1.0,20.4,4.4,4.0,1.0,1.0,2.2,37.48,0.41
Ja Morant,G,MEM,86,5,1.0,20.6,3.0,7.4,0.6,0.0,2.6,36.5,0.4
Kemba Walker,G,BOS,85,4,0.0,19.25,4.25,5.75,1.0,0.0,2.0,33.98,0.4
Montrezl Harrell,C-F,LAL,82,5,0.0,17.2,8.8,0.8,1.2,0.4,1.6,32.16,0.39
Miles Bridges,F,CHA,75,5,1.0,13.8,6.8,1.6,0.6,1.0,1.0,30.16,0.38
Thaddeus Young,F,CHI,80,5,0.0,14.4,6.4,3.8,0.8,0.8,2.2,30.38,0.38
Kevin Porter Jr.,F-G,HOU,75,4,0.0,16.75,3.5,5.25,0.75,0.0,2.5,28.58,0.38
Jae'Sean Tate,F,HOU,77,5,0.0,12.2,6.0,2.6,0.8,1.4,0.6,29.3,0.38
Danny Green,F-G,PHI,75,5,1.0,14.6,4.2,1.6,1.0,1.0,0.4,29.64,0.37
Wendell Carter Jr.,C-F,ORL,80,5,0.0,13.2,9.4,1.4,0.2,1.2,1.4,29.38,0.37
Kyle Anderson,F-G,MEM,81,5,0.0,10.6,5.6,4.0,1.2,1.2,1.0,29.52,0.36
Eric Bledsoe,G,NOP,78,5,0.0,13.6,3.4,5.4,0.8,0.4,2.0,27.38,0.35
Lou Williams,G,ATL,80,2,0.0,13.0,3.0,6.5,0.5,0.5,1.0,28.35,0.35
Dwayne Bacon,F-G,ORL,71,5,0.0,15.6,3.8,1.8,0.8,0.0,0.6,24.66,0.35
Ben Simmons,F-G,PHI,88,5,0.0,10.8,7.4,5.6,1.6,0.2,3.8,29.68,0.34
Terrence Ross,F-G,ORL,77,3,0.0,15.33,2.33,3.0,1.33,0.33,1.33,26.3,0.34
Ivica Zubac,C,LAC,79,5,0.0,9.0,10.0,0.6,0.2,1.8,1.4,26.5,0.34
Blake Griffin,F,BKN,78,3,0.0,11.0,5.0,3.67,1.0,0.33,1.0,25.5,0.33
Tomas Satoransky,F-G,CHI,75,5,0.0,10.4,3.2,5.2,1.2,0.0,1.8,23.84,0.32
Reggie Jackson,G,LAC,77,5,0.0,16.4,2.6,3.8,0.4,0.2,2.4,24.62,0.32
Aaron Gordon,F,DEN,80,3,1.0,11.0,4.0,2.67,1.67,0.67,1.0,27.8,0.32
Brandon Clarke,F-G,MEM,81,4,0.0,10.75,5.0,3.0,1.25,0.5,0.5,26.0,0.32
Kelly Oubre Jr.,F-G,GSW,79,5,0.0,13.6,6.4,1.2,0.8,0.2,0.8,25.28,0.32
Shake Milton,F-G,PHI,78,5,0.0,15.8,3.0,2.8,1.0,0.2,2.4,24.8,0.32
Dwight Howard,C-F,PHI,79,5,1.0,10.0,8.2,0.6,0.6,1.0,1.4,26.14,0.31
Markieff Morris,F,LAL,74,5,0.0,11.8,7.0,1.2,0.4,0.4,1.6,22.8,0.31
Paul Millsap,F,DEN,79,5,0.0,10.2,4.4,2.8,1.0,0.6,0.6,23.88,0.3
Bruce Brown,F-G,BKN,77,5,0.0,10.2,5.2,2.0,1.2,0.2,1.4,22.24,0.29
Nicolas Batum,F-G,LAC,77,5,0.0,5.8,7.2,3.0,1.2,0.4,1.4,22.34,0.29
Dillon Brooks,F-G,MEM,76,5,0.0,16.2,2.2,1.0,1.0,0.0,1.4,21.94,0.29
Marcus Morris Sr.,F,LAC,78,3,0.0,15.33,4.0,1.33,0.33,0.0,1.33,21.8,0.28
James Ennis III,F,ORL,76,5,0.0,11.4,4.4,1.8,1.0,0.0,0.8,21.58,0.28
D.J. Augustin,G,HOU,73,5,0.0,13.0,2.4,3.6,0.4,0.0,2.2,20.28,0.28
Steven Adams,C,NOP,80,4,0.0,6.0,6.5,1.5,1.0,1.5,1.0,22.55,0.28
Seth Curry,G,PHI,76,5,0.0,13.2,1.6,2.8,0.6,0.0,0.8,20.32,0.27
Sterling Brown,F-G,HOU,74,5,0.0,11.2,6.0,0.2,0.2,0.4,0.8,19.7,0.27
Jeff Green,F,BKN,76,5,0.0,9.8,4.2,0.6,0.8,1.2,1.2,20.54,0.27
Cody Zeller,C-F,CHA,79,5,0.0,9.2,6.0,1.0,1.2,0.0,0.2,21.3,0.27
P.J. Washington,F,CHA,80,5,0.0,6.8,6.4,1.4,1.2,1.4,2.4,21.98,0.27
Will Barton,G,DEN,75,5,0.0,8.0,4.2,2.8,0.8,0.8,1.6,20.44,0.27
Patrick Williams,F,CHI,76,5,0.0,9.8,4.0,2.0,1.0,0.4,1.4,20.4,0.27
Grayson Allen,G,MEM,76,4,0.0,10.75,3.5,1.5,1.0,0.0,0.5,19.7,0.26
Kentavious Caldwell-Pope,G,LAL,75,5,0.0,9.0,4.4,2.0,0.8,0.4,1.6,19.28,0.26
Desmond Bane,G,MEM,76,5,0.0,8.0,4.4,2.0,0.6,0.4,0.6,18.68,0.25
Reggie Perry,C-F,BKN,72,2,0.0,8.0,4.5,0.5,1.0,0.5,1.0,17.65,0.25
Alex Caruso,G,LAL,74,5,0.0,4.6,3.8,2.6,1.8,0.4,1.4,18.26,0.25
